Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
1.0,Ed Sheeran - Shape of You||../track/7qiZfU4dY1lWllzX7mPBI3.html,109.0,34,1.0,(x14),"64,217,796","2,052,905,128"
2.0,Drake - One Dance||../track/1xznGGDReH1oQq0xzbwXa3.html,129.0,26,1.0,(x14),"47,782,311","1,555,622,901"
3.0,The Chainsmokers - Closer||../track/7BKLCZ1jbUBVqRi2FVlTVw.html,131.0,28,1.0,(x11),"46,300,740","1,454,865,291"
4.0,Post Malone - rockstar||../track/7wGoVu4Dady5GV0Sv4UIsx.html,73.0,27,1.0,(x17),"46,995,997","1,422,808,226"
5.0,Drake - God's Plan||../track/2XW4DbS6NddZxRPm5rMCeY.html,55.0,21,1.0,(x11),"54,891,573","1,189,072,288"
6.0,Ed Sheeran - Thinking Out Loud||../track/34gCuhDGsG4bRPIf9bb02f.html,220.0,22,1.0,(x2),"12,966,533","1,162,454,221"
7.0,Camila Cabello - Havana||../track/1rfofaqEpACxVEHIZBJe6W.html,79.0,25,1.0,(x1),"33,129,706","1,132,732,527"
8.0,Luis Fonsi - Despacito - Remix||../track/5CtI0qwDJkDQGwXD1H1cLb.html,64.0,19,1.0,(x14),"54,729,818","1,092,396,262"
9.0,Dua Lipa - New Rules||../track/2ekn2ttSfGqwhhate0LSR0.html,83.0,23,2.0,(x3),"26,215,788","1,058,108,090"
10.0,James Arthur - Say You Won't Let Go||../track/5uCax9HTNlzGybIStD3vDh.html,124.0,15,7.0,,"19,297,939","1,019,754,755"
11.0,Ed Sheeran - Perfect||../track/0tgVpDi06FyKpA1z0VMD4v.html,101.0,15,4.0,,"24,763,619","1,010,676,446"
12.0,Kendrick Lamar - HUMBLE.||../track/7KXjTSCq5nL1LoYtL7XAwS.html,93.0,12,1.0,(x1),"41,269,524","976,755,908"
13.0,Lil Uzi Vert - XO TOUR Llif3||../track/7GX5flRQZVHRAGd6B4TmDO.html,98.0,2,10.0,,"19,373,632","971,053,597"
14.0,Ed Sheeran - Photograph||../track/1HNkqx9Ahdgi1Ixy2xkKkL.html,210.0,,15.0,,"8,088,843","968,703,365"
15.0,Justin Bieber - Love Yourself||../track/3hB5DgAiMAQ4DzYbsMq1IT.html,108.0,22,1.0,(x3),"28,218,558","967,608,716"
16.0,The Chainsmokers - Something Just Like This||../track/6RUKPb4LETWmmr3iAEQktW.html,95.0,12,2.0,(x2),"33,173,199","956,011,808"
17.0,The Weeknd - Starboy||../track/5aAx2yezTd8zXrkmtKl66Z.html,84.0,21,1.0,(x6),"35,360,281","952,641,510"
18.0,Justin Bieber - Sorry||../track/69bp2EbF7Q2rqc5N3ylezZ.html,92.0,21,1.0,(x8),"34,283,993","945,730,140"
19.0,Imagine Dragons - Thunder||../track/0tKcYR2II1VCQWT79i5NrW.html,93.0,3,8.0,,"21,076,623","943,161,348"
20.0,The Chainsmokers - Don't Let Me Down||../track/1i1fxkWeaMmKEB4T7zqbzK.html,93.0,22,3.0,(x2),"20,867,984","937,382,310"
21.0,Major Lazer - Lean On||../track/4WjH9Bzt3kx7z8kl0awxh4.html,120.0,33,1.0,(x10),"18,924,031","916,566,107"
22.0,Imagine Dragons - Believer||../track/0CcQNd8CINkwQfe1RDtGV6.html,105.0,,16.0,,"16,864,827","915,010,331"
23.0,Mike Posner - I Took A Pill In Ibiza - Seeb Remix||../track/7vfWgVGiLgnGbInU5lvSQg.html,99.0,22,2.0,(x3),"23,018,299","891,175,647"
24.0,Post Malone - Congratulations||../track/3a1lNhkSLSkpJE4MSHpDu9.html,107.0,,20.0,,"15,632,229","889,943,324"
25.0,French Montana - Unforgettable||../track/3B54sVLJ402zGa6Xm4YGNe.html,78.0,15,3.0,(x1),"25,652,839","873,238,651"
26.0,DJ Snake - Let Me Love You||../track/4pdPtRcBmOSQDlJ3Fk945m.html,67.0,22,2.0,(x1),"32,792,765","856,986,795"
27.0,XXXTENTACION - SAD!||../track/3ee8Jmje8o58CHK66QrVC2.html,49.0,12,1.0,(x2),"38,010,231","850,484,281"
28.0,Major Lazer - Cold Water||../track/6DNtNfH8hXkqOX1sjqmI7p.html,60.0,17,1.0,(x5),"39,612,302","815,313,617"
29.0,Luis Fonsi - Despacito (Featuring Daddy Yankee)||../track/4aWmUDTfIPGksMNLV2rQP2.html,62.0,15,4.0,,"27,082,220","802,424,995"
30.0,Sia - Cheap Thrills||../track/27SdWb2rFzO6GWiYDBTD9j.html,83.0,18,3.0,(x1),"22,704,478","771,328,890"
31.0,Justin Bieber - What Do You Mean?||../track/3pzjHKrQSvXGHQ98dx18HI.html,76.0,24,1.0,(x8),"29,264,063","767,171,936"
32.0,Post Malone - Better Now||../track/7dt6x5M1jzdTEt8oCbisTK.html,41.0,11,1.0,(x6),"40,788,286","760,949,782"
33.0,Post Malone - Psycho||../track/3swc6WTsr7rl9DqQKQA55C.html,50.0,14,2.0,(x6),"45,142,484","751,386,196"
34.0,Drake - In My Feelings||../track/2G7V7zsVDxg1yRsu7Ew9RJ.html,32.0,15,1.0,(x8),"67,499,798","749,976,724"
35.0,Bruno Mars - That's What I Like||../track/0KKkJNfGyhkQ5aFogxQAPU.html,85.0,9,6.0,,"23,602,385","733,976,807"
36.0,Cardi B - I Like It||../track/58q2HKrzhC3ozto2nDdN4z.html,44.0,14,2.0,(x1),"27,369,377","726,463,464"
37.0,Twenty One Pilots - Stressed Out||../track/3CRDbSIZ4r5MsZ0YwxuEkn.html,108.0,12,6.0,,"18,271,666","723,053,286"
38.0,DJ Khaled - I'm the One||../track/3DXncPQOG4VBw3QHh3S817.html,51.0,16,2.0,(x7),"40,519,723","720,238,325"
39.0,XXXTENTACION - Jocelyn Flores||../track/7m9OqQk4RVRkw9JJdeAw96.html,76.0,2,7.0,,"25,442,646","718,176,755"
40.0,Calvin Harris - This Is What You Came For||../track/0azC730Exh71aQlOt9Zj3y.html,64.0,18,2.0,(x11),"26,378,633","710,707,296"
41.0,"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")||../track/6JV2JOEocMgcZxYSZelKcc.html",78.0,14,3.0,(x6),"24,236,034","707,632,576"
42.0,J Balvin - Mi Gente||../track/2rb5MvYT7ZIxbKW5hfcHx8.html,57.0,15,1.0,(x4),"32,361,062","706,648,562"
43.0,Alan Walker - Faded||../track/1brwdYwjltrJo7WHpIvbYt.html,91.0,15,7.0,,"17,656,352","705,007,917"
44.0,Calvin Harris - One Kiss||../track/7ef4DlsgrMEH11cDZd32M6.html,44.0,14,2.0,(x4),"30,380,257","702,468,168"
45.0,Charlie Puth - Attention||../track/4iLqG9SeJSnt0cSPICSjxv.html,60.0,13,5.0,,"22,888,447","700,064,945"
46.0,Fifth Harmony - Work from Home||../track/4tCtwWceOPWzenK2HAIJSb.html,74.0,20,2.0,(x3),"22,851,136","698,301,324"
47.0,Shawn Mendes - Treat You Better||../track/76t5B0ttSAje5KHmQbv88t.html,77.0,13,5.0,,"20,386,073","695,762,913"
48.0,Lukas Graham - 7 Years||../track/5kqIPrATaCc2LqxVWzQGbk.html,86.0,14,2.0,(x1),"21,578,772","691,799,286"
49.0,ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker)||../track/3NdDpSvN911VPGivFlV5d0.html,68.0,14,2.0,(x2),"30,694,422","682,354,310"
50.0,Juice WRLD - Lucid Dreams||../track/0s3nnoMeVWz3989MkNQiRf.html,39.0,14,3.0,(x1),"27,389,019","676,287,607"
51.0,Clean Bandit - Rockabye||../track/5knuzwU65gJK7IF5yJsuaW.html,65.0,14,3.0,(x3),"22,798,862","674,373,152"
52.0,Post Malone - I Fall Apart||../track/75ZvA4QfFiZvzhj2xkaWAh.html,72.0,1,10.0,,"17,129,238","673,749,769"
53.0,Adele - Hello||../track/0ENSn4fwAbCGeFGVUbXEU3.html,73.0,15,1.0,(x3),"44,785,665","668,589,866"
54.0,Kygo - It Ain't Me||../track/3eR23VReFzcdmS7TYCrhCe.html,55.0,14,2.0,(x2),"31,981,993","668,193,646"
55.0,Marshmello - Silence||../track/7vGuf3Y35N4wmASOKLUVVU.html,68.0,8,8.0,,"20,339,368","667,322,212"
56.0,Maroon 5 - Girls Like You||../track/7fa9MBXhVfQ8P8Df9OEbD8.html,36.0,14,2.0,(x1),"29,296,811","667,199,438"
57.0,Dua Lipa - IDGAF||../track/76cy1WJvNGJTj78UqeA5zr.html,58.0,12,4.0,,"23,715,748","660,656,373"
58.0,Rihanna - Work||../track/14WWzenpaEgQZlqPq2nk4v.html,60.0,15,1.0,(x9),"33,662,868","652,396,816"
59.0,Maroon 5 - What Lovers Do||../track/3hBBKuWJfxlIlnd9QFoC8k.html,68.0,10,5.0,,"23,951,075","651,050,835"
60.0,Shawn Mendes - Stitches||../track/1WP1r7fuvRqZRnUaTi2I1Q.html,100.0,20,5.0,,"15,301,964","643,947,324"
61.0,Danny Ocean - Me Rehúso||../track/6De0lHrwBfPfrhorm9q1Xl.html,69.0,,20.0,,"13,515,074","640,056,355"
62.0,Marshmello - FRIENDS||../track/08bNPGLD8AhKpnnERrAc6G.html,52.0,13,4.0,,"25,664,581","639,258,903"
63.0,The Weeknd - Can't Feel My Face||../track/6RsWqX8zABZLhZydXxEFOm.html,83.0,29,1.0,(x1),"19,390,352","636,191,997"
64.0,Logic - 1-800-273-8255||../track/5tz69p7tJuGPeMGwNTxYuV.html,62.0,9,5.0,,"23,662,238","629,521,089"
65.0,Twenty One Pilots - Heathens||../track/6i0V12jOa3mr6uu4WYhUBr.html,61.0,13,4.0,,"26,546,200","629,357,576"
66.0,Charlie Puth - We Don't Talk Anymore||../track/06KyNuuMOX1ROXRhj787tj.html,97.0,1,9.0,,"18,248,508","624,294,216"
67.0,Bebe Rexha - Meant to Be||../track/7iDa6hUg2VgEL1o1HjmfBn.html,72.0,,18.0,,"14,838,238","618,980,681"
68.0,Desiigner - Panda||../track/5OOkp4U9P9oL23maHFHL1h.html,72.0,13,3.0,(x1),"24,034,197","618,141,508"
69.0,Lauv - I Like Me Better||../track/1wjzFQodRWrPcQ0AnYnvQ9.html,88.0,,29.0,,"12,704,967","610,111,649"
70.0,Major Lazer - Light It Up||../track/6lDo13SSgTv0WbyUQKgnjk.html,73.0,,11.0,,"15,684,172","604,569,611"
71.0,Zedd - The Middle||../track/2ARqIya5NAuvFVHSN3bL0m.html,54.0,7,6.0,,"22,125,746","601,472,779"
72.0,Shawn Mendes - There's Nothing Holdin' Me Back||../track/79cuOz3SPQTuFrp8WgftAu.html,58.0,5,5.0,,"22,413,521","596,905,132"
73.0,Drake - Hotline Bling||../track/6nmz4imkDcmtwMjocAzFSx.html,80.0,19,2.0,(x1),"20,870,154","596,313,469"
74.0,Drake - Nice For What||../track/1cTZMwcBJT0Ka3UJPXOeeN.html,42.0,11,1.0,(x2),"41,781,391","594,741,215"
75.0,Khalid - Young Dumb & Broke||../track/5Z3GHaZ6ec9bsiI5BenrbY.html,75.0,,12.0,,"15,871,063","589,836,882"
76.0,Mark Ronson - Uptown Funk||../track/32OlwWuMpZ6b0aN2RZOeMS.html,103.0,23,1.0,(x8),"15,350,322","586,491,435"
77.0,Zedd - Stay||../track/0dA2Mk56wEzDgegdC6R17g.html,55.0,11,7.0,,"23,118,329","586,299,104"
78.0,XXXTENTACION - Moonlight||../track/0JP9xo3adEtGSdUEISiszL.html,47.0,2,2.0,(x1),"27,497,557","582,882,151"
79.0,Future - Mask Off||../track/3rOSwuTsUlJp0Pu0MkN8r8.html,58.0,9,5.0,,"25,847,893","582,487,201"
80.0,Selena Gomez - Wolves||../track/7EmGUiUaOSGDnUUQUDrOXC.html,56.0,14,3.0,(x1),"24,355,051","581,396,174"
81.0,Martin Garrix - In the Name of Love||../track/23L5CiUhw2jV1OIMwthR3S.html,59.0,10,6.0,,"21,797,864","581,181,619"
82.0,The Weeknd - I Feel It Coming||../track/4RepvCWqsP6zBuzvwYibAS.html,62.0,8,4.0,,"22,658,206","579,239,741"
83.0,Sam Smith - Stay With Me||../track/7IHOIqZUUInxjVkko181PB.html,145.0,26,2.0,(x4),"8,537,137","578,380,137"
84.0,Ariana Grande - no tears left to cry||../track/5SxkdsY1ufZzoq9iXceLw9.html,42.0,8,2.0,(x1),"38,925,971","575,611,020"
85.0,"G-Eazy - Me, Myself & I||../track/40YcuQysJ0KlGQTeGUosTC.html",70.0,14,4.0,,"17,839,641","564,775,200"
86.0,Clean Bandit - Symphony||../track/1x5sYLZiu9r5E43kMlt9f8.html,60.0,,11.0,,"21,433,880","561,744,393"
87.0,Jason Derulo - Swalla||../track/6kex4EBAj0WHXDKZMEJaaF.html,54.0,6,6.0,,"21,809,411","560,860,745"
88.0,Sam Smith - Too Good At Goodbyes||../track/1mXVgsBdtIVeCLJnSnmtdV.html,65.0,6,3.0,(x2),"28,527,847","559,226,298"
89.0,DJ Snake - Taki Taki||../track/4w8niZpiMy6qz1mntFA5uM.html,19.0,18,1.0,(x4),"40,931,264","555,472,583"
90.0,John Legend - All of Me||../track/3U4isOIWM3VvDubwSI3y7a.html,170.0,15,3.0,(x2),"6,405,273","552,803,997"
91.0,Travis Scott - goosebumps||../track/6gBFPUFcJLzWGx4lenP6h2.html,104.0,,60.0,,"7,396,104","552,655,192"
92.0,Zara Larsson - Lush Life||../track/0r4SsYcwvd8URat6AS2m6f.html,93.0,,15.0,,"12,272,269","551,641,716"
93.0,5 Seconds of Summer - Youngblood||../track/2iUXsYOEPhVqEBwsqP70rE.html,43.0,1,8.0,,"22,841,733","547,957,539"
94.0,DNCE - Cake By The Ocean||../track/2Aa1wE8ofs2tu59TOQrZKW.html,82.0,,12.0,,"15,222,959","547,344,387"
95.0,Hozier - Take Me To Church||../track/7dS5EaCoMnN7DzlpT6aRn2.html,113.0,20,1.0,(x5),"13,212,580","543,835,168"
96.0,Drake - Too Good||../track/11KJSRSgaDxqydKYiD2Jew.html,48.0,18,5.0,,"19,402,522","542,497,343"
97.0,Ed Sheeran - Galway Girl||../track/0afhq8XCExXpqazXczTSve.html,58.0,5,2.0,(x1),"31,063,488","542,207,088"
98.0,Hailee Steinfeld - Starving||../track/6DG2g1UhROp5pnM8fx7zH2.html,66.0,,12.0,,"16,495,002","539,154,382"
99.0,The Weeknd - The Hills||../track/25khomWgBVamSdKw7hzm3l.html,92.0,11,3.0,(x1),"14,363,491","537,464,309"
100.0,Ariana Grande - Side To Side||../track/4pLwZjInHj3SimIyN9SnOz.html,59.0,10,6.0,,"20,877,291","537,400,584"
101.0,Twenty One Pilots - Ride||../track/2Z8WuEywRWYTKe1NybPQEW.html,79.0,1,10.0,,"15,813,811","537,094,400"
102.0,Khalid - Location||../track/152lZdxL1OR0ZMW6KquMif.html,79.0,,34.0,,"11,072,906","536,818,581"
103.0,Travis Scott - SICKO MODE||../track/2xLMifQCjDGFmkHkpNLD9h.html,27.0,20,2.0,(x1),"33,399,542","535,034,855"
104.0,BlocBoy JB - Look Alive||../track/4qKcDkK6siZ7Jp1Jb4m0aL.html,52.0,6,6.0,,"22,486,856","533,375,863"
105.0,Julia Michaels - Issues||../track/1sXUWdKx03aP9Gmzft58rt.html,65.0,1,9.0,,"18,886,951","533,154,479"
106.0,Nio Garcia - Te Boté - Remix||../track/3V8UKqhEK5zBkBb6d6ub8i.html,43.0,2,8.0,,"19,829,896","532,445,805"
107.0,The Chainsmokers - Paris||../track/15vzANxN8G9wWfwAJLLMCg.html,48.0,12,2.0,(x3),"28,872,070","531,337,298"
108.0,Marshmello - Happier||../track/2dpaYNEQHiRxtZbfNsse99.html,25.0,17,2.0,(x1),"28,685,390","529,762,233"
109.0,Ed Sheeran - Castle on the Hill||../track/6PCUP3dWmTjcTtXY02oFdT.html,56.0,9,2.0,(x2),"35,059,860","529,615,023"
110.0,Bruno Mars - 24K Magic||../track/6b8Be6ljOzmkOmFslEb23P.html,62.0,6,6.0,,"20,739,017","527,459,491"
111.0,Jack Ü - Where Are Ü Now||../track/66hayvUbTotekKU3H4ta1f.html,81.0,23,3.0,(x1),"11,738,161","524,252,721"
112.0,Tyga - Taste||../track/5IaHrVsrferBYDm0bDyABy.html,38.0,4,6.0,,"24,591,233","521,944,844"
113.0,Axwell /\ Ingrosso - More Than You Know||../track/3PEgB3fkiojxms35ntsTgs.html,62.0,,15.0,,"16,550,135","517,548,978"
114.0,Demi Lovato - Sorry Not Sorry||../track/3m660poUr1chesgkkjQM7P.html,56.0,3,7.0,,"19,545,702","517,161,784"
115.0,Sia - Chandelier||../track/4VrWlk8IQxevMvERoX08iC.html,128.0,23,3.0,(x3),"8,493,093","516,437,237"
116.0,"Ariana Grande - thank u, next||../track/2rPE9A1vEgShuZxxzR2tZH.html",14.0,14,1.0,(x8),"59,975,503","516,283,279"
117.0,benny blanco - Eastside||../track/0d2iYfpKoM0QCKvcLCkBao.html,30.0,11,4.0,,"24,227,312","515,300,438"
118.0,DJ Khaled - Wild Thoughts||../track/1OAh8uOEOvTDqkKFsKksCi.html,40.0,12,2.0,(x4),"31,981,224","506,184,874"
119.0,Kendrick Lamar - All The Stars||../track/3GCdLUSnKSMJhs4Tj6CV3s.html,44.0,7,2.0,(x2),"31,352,011","503,976,206"
120.0,Portugal. The Man - Feel It Still||../track/6QgjcU0zLnzq5OrUoSZ3OK.html,64.0,,18.0,,"14,096,574","503,935,939"
121.0,Jonas Blue - Fast Car||../track/6OZh916QF8XNunWaP97WEZ.html,62.0,4,10.0,,"16,501,675","502,209,439"
122.0,Liam Payne - Strip That Down||../track/6EpRaXYhGOB3fj4V2uDkMJ.html,47.0,7,9.0,,"20,399,177","501,969,151"
123.0,NF - Let You Down||../track/6mrKP2jyIQmM0rw6fQryjr.html,46.0,10,9.0,,"19,989,871","497,222,105"
124.0,ZAYN - Dusk Till Dawn||../track/1j4kHkkpqZRBwE0A4CN4Yv.html,41.0,11,4.0,,"22,579,858","494,566,732"
125.0,ZAYN - PILLOWTALK||../track/0PDUDa38GO8lMxLCRc4lL1.html,59.0,13,1.0,(x2),"27,477,356","493,993,282"
126.0,Rudimental - These Days||../track/5CLGzJsGqhCEECcpnFQA8x.html,51.0,1,9.0,,"19,683,315","493,838,843"
127.0,Martin Garrix - Scared to Be Lonely||../track/3ebXMykcMXOcLeJ9xZ17XH.html,55.0,4,5.0,,"22,668,956","493,661,628"
128.0,Drake - Passionfruit||../track/7hDc8b7IXETo14hHIHdnhd.html,56.0,6,2.0,(x2),"32,507,239","492,003,941"
129.0,Clean Bandit - Solo||../track/6kPJZM97LwdG9QIsT7khp6.html,38.0,7,8.0,,"24,095,921","490,693,355"
130.0,Wiz Khalifa - See You Again||../track/7wqSzGeodspE3V6RBD5W8L.html,83.0,18,1.0,(x6),"21,852,951","484,510,893"
131.0,The Chainsmokers - Roses||../track/3vv9phIu6Y1vX3jcqaGz5Z.html,69.0,6,7.0,,"14,398,355","484,221,245"
132.0,Nicky Jam - X||../track/39N9RPD9MRb5WmoLzNzPeA.html,34.0,10,4.0,,"25,335,647","483,456,853"
133.0,Khalid - Love Lies||../track/45Egmo7icyopuzJN0oMEdk.html,49.0,,11.0,,"20,042,219","483,126,319"
134.0,"gnash - i hate u, i love u||../track/7vRriwrloYVaoAe3a9wJHe.html",57.0,,13.0,,"13,840,077","482,561,714"
135.0,XXXTENTACION - Fuck Love||../track/7AQim7LbvFVZJE3O8TYgf2.html,73.0,,19.0,,"16,680,157","478,443,090"
136.0,Drake - Fake Love||../track/6NMNgWgEAzde5M8U3lc6FN.html,48.0,10,7.0,,"18,569,220","476,434,708"
137.0,Bazzi - Mine||../track/7uzmGiiJyRfuViKKK3lVmR.html,48.0,6,3.0,(x1),"23,681,960","468,993,923"
138.0,Starley - Call On Me - Ryan Riback Extended Remix||../track/78rIJddV4X0HkNAInEcYde.html,47.0,,13.0,,"16,885,441","465,738,653"
139.0,Dynoro - In My Mind||../track/0E9ZjEAyAwOXZ7wJC0PD33.html,31.0,10,6.0,,"22,288,306","462,907,939"
140.0,Maluma - Felices los 4||../track/0qYTZCo5Bwh1nsUFGZP3zn.html,47.0,,17.0,,"17,123,191","462,895,074"
141.0,Calvin Harris - Feels||../track/5bcTCxgc7xVfSaMV3RuVke.html,38.0,11,5.0,,"23,208,440","462,099,346"
142.0,Robin Schulz - Sugar||../track/5tf1VVWniHgryyumXyJM7w.html,69.0,6,9.0,,"10,750,515","461,767,760"
143.0,Ed Sheeran - Happier||../track/2RttW7RAu5nOAfq6YFvApB.html,87.0,1,10.0,,"23,545,568","457,423,055"
144.0,Maroon 5 - Sugar||../track/5eWgDlp3k6Tb5RD8690s6I.html,93.0,11,2.0,(x1),"13,080,140","455,952,316"
145.0,Luis Fonsi - Échame La Culpa||../track/1zsG4eaZmkA1dvjDDsAGLK.html,40.0,8,7.0,,"19,056,515","455,074,445"
146.0,Jonas Blue - Mama||../track/0NiXXAI876aGImAd6rTj8w.html,45.0,,11.0,,"18,912,803","451,206,321"
147.0,Maroon 5 - Don't Wanna Know||../track/5MFzQMkrl1FOOng9tq6R9r.html,40.0,13,4.0,,"21,063,863","450,707,447"
148.0,Rihanna - Needed Me||../track/1Tt4sE4pXi57mTD1GCzsqm.html,58.0,,14.0,,"13,619,575","450,689,857"
149.0,Offset - Ric Flair Drip (& Metro Boomin)||../track/7sO5G9EABYOXQKNPNiE9NR.html,63.0,,32.0,,"10,965,630","450,044,064"
150.0,Clean Bandit - Rather Be||../track/3s4U7OHV7gnj42VV72eSZ6.html,121.0,17,1.0,(x7),"8,491,112","446,561,447"
151.0,21 Savage - Bank Account||../track/2fQrGHiQOvpL9UgPvtYy6G.html,52.0,,22.0,,"14,030,108","442,378,554"
152.0,DJ Snake - Middle||../track/2Fn3coxd0xAZ09JtrgcgHa.html,64.0,,16.0,,"14,182,166","441,638,949"
153.0,Jonas Blue - Perfect Strangers||../track/1CUVN2kn7mW5FjkqXTR2W1.html,58.0,,12.0,,"17,072,020","436,465,982"
154.0,Childish Gambino - Redbone||../track/3kxfsdsCpFgN412fpnW85Y.html,76.0,,35.0,,"11,798,468","434,702,997"
155.0,Calvin Harris - How Deep Is Your Love||../track/22mek4IiqubGD9ctzxc69s.html,64.0,14,3.0,(x2),"13,109,875","430,830,938"
156.0,OneRepublic - Counting Stars||../track/1QzFhzIOW7CyRJLpmq5CM0.html,151.0,24,3.0,(x5),"5,067,704","429,434,298"
157.0,David Guetta - 2U||../track/3A7qX2QjDlPnazUsRk5y0M.html,32.0,11,3.0,(x2),"30,303,727","426,973,384"
158.0,XXXTENTACION - changes||../track/7AFASza1mXqntmGtbxXprO.html,49.0,1,9.0,,"23,766,098","423,512,899"
159.0,Shakira - Chantaje||../track/1WniHvhq9zTkny0WvGXX8o.html,50.0,,13.0,,"16,232,454","422,780,513"
160.0,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse||../track/3KkXRkHbMCARz0aVfEt68P.html,16.0,16,1.0,(x2),"34,579,416","420,279,691"
161.0,Passenger - Let Her Go||../track/7DFNE7NO0raLIUbgzY2rzm.html,163.0,,13.0,,"3,944,815","413,935,898"
162.0,Avicii - Wake Me Up||../track/6g1NlCpW7fgqDnWbCCDrHl.html,120.0,13,3.0,(x2),"20,549,219","413,702,019"
163.0,Halsey - Without Me||../track/5p7ujcrUXASCNwRaWNHR1C.html,18.0,15,4.0,,"27,576,694","412,382,740"
164.0,Fetty Wap - Trap Queen||../track/2d8JP84HNLKhmd6IYOoupQ.html,83.0,12,7.0,,"10,544,238","411,877,093"
165.0,Ellie Goulding - Love Me Like You Do||../track/7y2YUIyCuVhBidENVT0068.html,75.0,15,3.0,(x4),"19,080,054","411,454,169"
166.0,Shawn Mendes - Mercy||../track/3OalxlWH0v14kyBcNBMINt.html,59.0,,19.0,,"13,031,872","411,232,555"
167.0,Bad Bunny - MIA||../track/116H0KvKr2Zl4RPuVBruDO.html,17.0,14,1.0,(x1),"39,639,615","407,682,928"
168.0,Calvin Harris - Slide||../track/6gpcs5eMhJwax4mIfKDYQk.html,36.0,,13.0,,"18,367,402","406,830,519"
169.0,Hailee Steinfeld - Let Me Go||../track/5AEtlRudpgdT5FtNiuly6Y.html,42.0,,16.0,,"14,630,730","406,494,950"
170.0,Migos - Bad and Boujee||../track/4Km5HrUvYTaSUfiSGPJeQR.html,57.0,1,9.0,,"18,866,776","403,195,155"
171.0,Rae Sremmurd - Black Beatles||../track/6fujklziTHa8uoM5OQSfIo.html,44.0,8,1.0,(x2),"32,026,901","400,833,823"
172.0,Selena Gomez - Back To You||../track/4hQ6UGyWQIGJmHSo0J88JW.html,39.0,3,4.0,,"24,186,683","400,220,683"
173.0,6ix9ine - FEFE||../track/2E124GmJRnBJuXbTb4cPUB.html,29.0,7,2.0,(x1),"31,741,382","398,804,352"
174.0,Tiësto - Jackie Chan||../track/4kWO6O1BUXcZmaxitpVUwp.html,37.0,,11.0,,"21,601,280","394,343,157"
175.0,Kygo - Firestone||../track/2sNvitW3TxiTeC9xT9f2ZZ.html,85.0,8,4.0,,"8,534,894","392,362,160"
176.0,Drake - Nonstop||../track/0TlLq3lA83rQOYtrqBqSct.html,32.0,2,1.0,(x1),"43,697,135","389,501,490"
177.0,Ariana Grande - Into You||../track/7yHEDfrJNd0zWOfXwydNH0.html,50.0,,14.0,,"15,071,769","387,315,052"
178.0,Post Malone - White Iverson||../track/6eT7xZZlB2mwyzJ2sUKG6w.html,107.0,,38.0,,"6,058,616","387,186,554"
179.0,Natti Natasha - Criminal||../track/6Za3190Sbw39BBC77WSS1C.html,46.0,,21.0,,"12,517,942","386,987,487"
180.0,Calvin Harris - My Way||../track/1vvNmPOiUuyCbgWmtc6yfm.html,40.0,4,8.0,,"19,655,559","386,403,463"
181.0,Anne-Marie - 2002||../track/2BgEsaKNfHUdlh97KmvFyo.html,42.0,,27.0,,"13,698,716","385,889,556"
182.0,Jason Derulo - Want to Want Me||../track/7oGZAicScQt96OAW4AruYy.html,73.0,14,2.0,(x1),"13,288,062","384,383,171"
183.0,Jonas Blue - Rise||../track/3u1S1OmAUhx5DRlLrXqyp3.html,36.0,,12.0,,"20,761,497","383,279,382"
184.0,OMI - Cheerleader (Felix Jaehn Remix)||../track/4fTHdMTq0Znl3djLI1Typn.html,46.0,30,2.0,(x3),"13,557,794","381,226,227"
185.0,Travis Scott - Butterfly Effect||../track/1yxgsra98r3qAtxqiGZPiX.html,60.0,,38.0,,"12,187,233","380,616,051"
186.0,Zara Larsson - Never Forget You||../track/6WLS56xiRrXjSm9RSdL3zD.html,56.0,,21.0,,"10,871,263","378,601,678"
187.0,Mariah Carey - All I Want for Christmas Is You||../track/0bYg9bo50gSsH3LtXe2SQn.html,32.0,9,1.0,(x1),"39,567,108","376,669,172"
188.0,XXXTENTACION - Look At Me!||../track/6eYxmK9fdL4hwLnXG2zY3s.html,75.0,,39.0,,"11,076,255","376,574,941"
189.0,Galantis - No Money||../track/0gb1J5UrTpzaU1s3nupgCd.html,42.0,4,9.0,,"17,305,382","375,672,373"
190.0,Imagine Dragons - Radioactive||../track/6Ep6BzIOB9tz3P4sWqiiAB.html,158.0,,15.0,,"3,353,347","374,359,494"
191.0,Cheat Codes - Sex||../track/5ZEM9j0jrFr5RdHEbl2MYV.html,47.0,,11.0,,"16,271,653","372,780,908"
192.0,Wisin - Escápate Conmigo||../track/2cnKEkpVUSV4wnjQiTWfH6.html,50.0,,38.0,,"10,495,140","371,029,141"
193.0,Post Malone - Candy Paint||../track/42CeaId2XNlxugDvyqHfDf.html,51.0,,17.0,,"17,508,038","370,420,835"
194.0,Calvin Harris - Promises||../track/5N5k9nd479b1xpDZ4usjrg.html,25.0,8,5.0,,"23,666,223","369,347,886"
195.0,Mike Perry - The Ocean||../track/2CPqh63wRVscbceKcPxwvv.html,41.0,,11.0,,"14,759,290","369,186,755"
